company_name,employee size ,industry,country,city,department,designation,email,Name,phone_number,phone-2,phone-3
Winet,25,IT,India,Noida,support,Delhi,abc@gmail.com,winet,13058856235,,
Winet,25,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,13058856273,,
Support,43,IT,India,Noida,account,Delhi,abck@gmail.com,winet,13058856403,,
Winet,49,IT,India,Noida,support,Delhi,abc@gmail.com,winet,13058856449,,
Winet,58,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,13058856471,,
Support,67,IT,India,Noida,account,Delhi,abck@gmail.com,winet,13058856573,,
Winet,76,IT,India,Noida,support,Delhi,abc@gmail.com,winet,13058856602,,
Winet,85,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,13058856616,,
Support,94,IT,India,Noida,account,Delhi,abck@gmail.com,winet,13058856644,,
Winet,103,IT,India,Noida,support,Delhi,abc@gmail.com,winet,13058856672,,
Winet,112,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,13058856753,,
Support,121,IT,India,Noida,account,Delhi,abck@gmail.com,winet,13058856769,,
Winet,130,IT,India,Noida,support,Delhi,abc@gmail.com,winet,13058856775,,
Winet,139,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,13058856781,,
Support,148,IT,India,Noida,account,Delhi,abck@gmail.com,winet,13058856856,,
Winet,157,IT,India,Noida,support,Delhi,abc@gmail.com,winet,13058856917,,
Winet,166,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,13058856980,,
Support,175,IT,India,Noida,account,Delhi,abck@gmail.com,winet,13058857065,,
Winet,184,IT,India,Noida,support,Delhi,abc@gmail.com,winet,13058857116,,
Winet,193,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,13058857174,,
Support,202,IT,India,Noida,account,Delhi,abck@gmail.com,winet,13058857187,,
Winet,211,IT,India,Noida,support,Delhi,abc@gmail.com,winet,13058857196,,
Winet,220,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,13058857214,,
Support,229,IT,India,Noida,account,Delhi,abck@gmail.com,winet,13058857228,,
Winet,238,IT,India,Noida,support,Delhi,abc@gmail.com,winet,13058857231,,
Winet,247,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,13058857269,,
Support,256,IT,India,Noida,account,Delhi,abck@gmail.com,winet,13058857272,,
Winet,265,IT,India,Noida,support,Delhi,abc@gmail.com,winet,13058857312,,
Winet,274,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,13058857370,,
Support,283,IT,India,Noida,account,Delhi,abck@gmail.com,winet,13058857381,,
Winet,292,IT,India,Noida,support,Delhi,abc@gmail.com,winet,13058857403,,
Winet,301,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,13058857464,,
Support,310,IT,India,Noida,account,Delhi,abck@gmail.com,winet,13058857477,,
Winet,319,IT,India,Noida,support,Delhi,abc@gmail.com,winet,13058857536,,
Winet,328,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,13058857543,,
Support,337,IT,India,Noida,account,Delhi,abck@gmail.com,winet,13058857565,,
Winet,346,IT,India,Noida,support,Delhi,abc@gmail.com,winet,13058857587,,
Winet,355,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,13058857616,,
Support,364,IT,India,Noida,account,Delhi,abck@gmail.com,winet,13058857632,,
Winet,373,IT,India,Noida,support,Delhi,abc@gmail.com,winet,13058857647,,
Winet,382,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,13058857653,,
Support,391,IT,India,Noida,account,Delhi,abck@gmail.com,winet,13058857668,,
Winet,400,IT,India,Noida,support,Delhi,abc@gmail.com,winet,13058857672,,
