"Name","Email","Phone No.","Company","Last Activity","Lead Status","Created At","Actions"
"Miss Dennis Hauck","Lane.Friesen20@gmail.com","521-272-6958","Rippin Inc","2021-09-30T12:24:31.084Z","leadStatus 1","2022-02-28T13:59:06.873Z",""
"Miss Rosalie Roob","Sydney.Kreiger@yahoo.com","(769) 607-0756 x2384","Gottlieb, Grady and Walter","2021-08-02T20:02:08.044Z","leadStatus 2","2022-02-28T14:41:26.612Z",""
"Della Hilpert V","Nathen21@hotmail.com","629-247-9024","Roberts - Robel","2021-07-16T14:33:29.290Z","leadStatus 3","2022-02-27T17:56:52.394Z",""
"Terence Ward","Rebeka.Reynolds@hotmail.com","217-274-6983","Heathcote - Auer","2021-11-19T09:19:35.469Z","leadStatus 4","2022-02-27T22:52:48.297Z",""
"Lorena Mitchell","Adolfo.Jacobs@yahoo.com","397.701.5266 x48198","Kreiger LLC","2021-11-16T11:11:28.863Z","leadStatus 5","2022-02-28T06:08:12.734Z",""
"Jody Mayert","Zelma_Wilkinson68@yahoo.com","1-398-281-5304 x426","Nader, Walter and Kunde","2021-11-13T18:36:28.098Z","leadStatus 6","2022-02-28T15:33:16.064Z",""
"Lena Hilpert DDS","Jada.Murphy56@yahoo.com","(398) 351-5911 x76762","Brakus, Hoeger and Lang","2021-10-01T13:13:49.610Z","leadStatus 7","2022-02-28T06:38:57.922Z",""
"Penny McCullough","Karlee.Schmidt59@gmail.com","843-578-7090 x582","Raynor Inc","2021-12-05T10:59:29.417Z","leadStatus 8","2022-02-28T03:45:50.263Z",""
"Israel Lockman","Ardella_Crist@yahoo.com","(799) 513-4416","Graham, Mante and O'Conner","2021-07-25T23:13:54.428Z","leadStatus 9","2022-02-28T07:29:39.870Z",""
"Glenda Beer","Kamron_Lindgren@hotmail.com","821-617-9144","Ledner, Schuster and Bergstrom","2022-01-04T07:37:26.060Z","leadStatus 10","2022-02-28T11:34:50.557Z",""
